country,totalcase,newcase,totaldeath,newdeath,totalrecovered,newrecovered,activecases,serious,population
USA,"103,614,411",,"1,125,895                                ",,"100,492,965",,"1,995,551","4,335","334,805,269 "
India,"44,681,884",,"530,728                                ",,"44,148,645",,"2,511",698,"1,406,631,776 "
France,"39,461,387",,"163,562                                ",,"39,082,375",,"215,450",869,"65,584,518 "
Germany,"37,637,807",,"164,153                                ",,"37,139,200","+34,900","334,454","1,281","83,883,596 "
Brazil,"36,682,799",,"695,591                                ",,"35,626,058",,"361,150","8,318","215,353,593 "
Japan,"31,722,918","+125,108","63,769                                ",+449,"21,390,231","+6,308","10,268,918",689,"125,584,838 "
S. Korea,"29,898,142","+36,908","33,057                                ",+43,"29,026,259","+62,896","838,826",490,"51,329,899 "
Italy,"25,363,742",,"185,993                                ",,"24,824,106",,"353,643",310,"60,262,770 "
UK,"24,243,393",,"202,157                                ",,"23,943,046","+7,767","98,190",146,"68,497,907 "
Russia,"21,870,422","+5,478","394,529                                ",+46,"21,288,067","+5,028","187,826","2,300","145,805,947 "
Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"85,561,976 "
Spain,"13,711,251",,"117,759                                ",,"13,522,850",,"70,642",231,"46,719,142 "
Vietnam,"11,526,254",+41,"43,186                                ",,"10,612,220",+74,"870,848",3,"98,953,541 "
Australia,"11,247,412",,"17,712                                ",,"11,146,950",,"82,750",102,"26,068,792 "
Argentina,"10,024,095",,"130,338                                ",,"9,771,166","+10,365","122,591",402,"46,010,234 "
Taiwan,"9,266,087","+21,031","15,929                                ",+26,"8,778,304","+27,920","471,854",,"23,888,595 "
Netherlands,"8,577,856",,"22,989                                ",,"8,534,299",+579,"20,568",55,"17,211,447 "
Iran,"7,562,998",+130,"144,728                                ",,"7,336,884",+54,"81,386",202,"86,022,837 "
Mexico,"7,315,454",,"331,605                                ",,"6,550,514",,"433,335","4,798","131,562,772 "
Indonesia,"6,727,007",+339,"160,756                                ",+10,"6,559,736",+433,"6,515","2,771","279,134,505 "
Poland,"6,374,257",+378,"118,666                                ",+6,"5,335,940",,"919,651",788,"37,739,785 "
Colombia,"6,349,971",,"142,259                                ",,"6,170,360",,"37,352",342,"51,512,762 "
Austria,"5,747,540","+2,377","21,589                                ",+1,"5,702,341","+1,278","23,610",58,"9,066,710 "
Portugal,"5,557,941",,"25,805                                ",,"5,528,253",,"3,883",61,"10,140,570 "
Greece,"5,548,487",,"34,779                                ",,"5,513,708",,0,115,"10,316,637 "
Ukraine,"5,364,322",,"110,920                                ",,"5,247,021",+458,"6,381",,"43,192,122 "
Chile,"5,090,883",,"63,548                                ",,"5,021,880",,"5,455",118,"19,250,195 "
Malaysia,"5,033,254",,"36,919                                ",,"4,986,008",,"10,327",16,"33,181,072 "
Israel,"4,777,222",,"12,126                                ",,"4,757,423",,"7,673",57,"9,326,000 "
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"25,990,679 "
Thailand,"4,725,885",,"33,792                                ",,"4,692,074",,19,"1,496","70,078,203 "
Belgium,"4,686,147",,"33,478                                ",,"4,629,455","+1,545","23,214",92,"11,668,278 "
Czechia,"4,585,761",+385,"42,266                                ",,"4,537,497",+49,"5,998",39,"10,736,784 "
Canada,"4,524,782",,"49,871                                ",,"4,410,052","+2,557","64,859",99,"38,388,419 "
Peru,"4,476,123",,"218,554                                ",,"4,246,185","+1,091","11,384",70,"33,684,208 "
Switzerland,"4,384,899",,"14,451                                ",+1,"4,352,143","+4,306","18,305",52,"8,773,637 "
Philippines,"4,071,013",+287,"65,637                                ",+19,"3,994,345",+630,"11,031",162,"112,508,994 "
South Africa,"4,052,114",,"102,568                                ",,"3,912,506",,"37,040",192,"60,756,135 "
Romania,"3,319,680",,"67,504                                ",,"3,244,581","+3,605","7,595",118,"19,031,335 "
Denmark,"3,171,515",,"7,982                                ",,"3,160,560",+669,"2,973",15,"5,834,950 "
Hong Kong,"2,844,006","+3,793","12,965                                ",+56,"2,262,538","+13,675","568,503",36,"7,604,299 "
Sweden,"2,687,840",,"22,610                                ",,"2,635,572",+735,"29,658",28,"10,218,971 "
Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"42,164,965 "
Serbia,"2,461,390",,"17,622                                ",,"2,427,857",,"15,911",14,"8,653,016 "
Singapore,"2,212,684",,"1,717                                ",,"2,139,889",,"71,078",2,"5,943,546 "
